13
0,98,41,78,45,57,27,95,56,58,44,56,33
62,0,85,41,73,42,70,73,51,63,43,67,20
64,97,0,31,69,89,29,91,79,64,35,62,87
99,91,58,0,31,54,77,76,45,53,42,77,80
86,73,67,60,0,40,31,60,94,71,60,58,92
38,38,90,94,84,0,24,66,48,47,37,92,45
71,78,54,42,86,38,0,75,74,34,81,42,59
20,36,40,92,84,75,31,0,51,26,44,63,28
99,50,30,44,48,50,53,66,0,82,97,51,36
35,82,51,44,47,26,27,57,83,0,59,79,57
42,86,34,45,28,37,82,38,76,83,0,44,55
74,39,60,42,46,23,97,85,21,76,28,0,57
92,74,69,51,72,89,78,54,99,33,30,22,0

